"Entrez.ID"	"Gene.name"
738	"VPS51"
740	"MRPL49"
741	"ZNHIT2"
744	"MPPED2"
745	"MYRF"
746	"TMEM258"
747	"DAGLA"
750	"GAS8-AS1"
752	"FMNL1"
753	"LDLRAD4"
754	"PTTG1IP"
755	"C21orf2"
757	"TMEM50B"
758	"MPPED1"
759	"CA1"
760	"CA2"
761	"CA3"
762	"CA4"
763	"CA5A"
765	"CA6"
766	"CA7"
767	"CA8"
768	"CA9"
770	"CA11"
771	"CA12"
773	"CACNA1A"
774	"CACNA1B"
775	"CACNA1C"
776	"CACNA1D"
777	"CACNA1E"
778	"CACNA1F"
779	"CACNA1S"
780	"DDR1"
781	"CACNA2D1"
782	"CACNB1"
783	"CACNB2"
784	"CACNB3"
785	"CACNB4"
786	"CACNG1"
788	"SLC25A20"
790	"CAD"
793	"CALB1"
794	"CALB2"
795	"S100G"
796	"CALCA"
799	"CALCR"
800	"CALD1"
810	"CALML3"
811	"CALR"
813	"CALU"
814	"CAMK4"
815	"CAMK2A"
816	"CAMK2B"
818	"CAMK2G"
819	"CAMLG"
820	"CAMP"
821	"CANX"
822	"CAPG"
823	"CAPN1"
824	"CAPN2"
825	"CAPN3"
826	"CAPNS1"
827	"CAPN6"
829	"CAPZA1"
830	"CAPZA2"
831	"CAST"
832	"CAPZB"
833	"CARS"
834	"CASP1"
835	"CASP2"
836	"CASP3"
837	"CASP4"
838	"CASP5"
839	"CASP6"
840	"CASP7"
841	"CASP8"
842	"CASP9"
843	"CASP10"
844	"CASQ1"
845	"CASQ2"
846	"CASR"
847	"CAT"
857	"CAV1"
858	"CAV2"
859	"CAV3"
860	"RUNX2"
861	"RUNX1"
862	"RUNX1T1"
863	"CBFA2T3"
864	"RUNX3"
865	"CBFB"
866	"SERPINA6"
867	"CBL"
868	"CBLB"
869	"CBLN1"
873	"CBR1"
874	"CBR3"
875	"CBS"
881	"CCIN"
883	"CCBL1"
885	"CCK"
886	"CCKAR"
887	"CCKBR"
889	"KRIT1"
890	"CCNA2"
891	"CCNB1"
892	"CCNC"
894	"CCND2"
896	"CCND3"
898	"CCNE1"
899	"CCNF"
900	"CCNG1"
901	"CCNG2"
902	"CCNH"
904	"CCNT1"
905	"CCNT2"
908	"CCT6A"
909	"CD1A"
910	"CD1B"
911	"CD1C"
912	"CD1D"
913	"CD1E"
914	"CD2"
915	"CD3D"
916	"CD3E"
917	"CD3G"
919	"CD247"
920	"CD4"
921	"CD5"
922	"CD5L"
923	"CD6"
924	"CD7"
925	"CD8A"
926	"CD8B"
928	"CD9"
929	"CD14"
930	"CD19"
931	"MS4A1"
932	"MS4A3"
939	"CD27"
940	"CD28"
941	"CD80"
942	"CD86"
943	"TNFRSF8"
944	"TNFSF8"
946	"SIGLEC6"
947	"CD34"
948	"CD36"
949	"SCARB1"
950	"SCARB2"
951	"CD37"
952	"CD38"
953	"ENTPD1"
954	"ENTPD2"
955	"ENTPD6"
956	"ENTPD3"
957	"ENTPD5"
958	"CD40"
959	"CD40LG"
960	"CD44"
961	"CD47"
962	"CD48"
963	"CD53"
965	"CD58"
966	"CD59"
967	"CD63"
969	"CD69"
970	"CD70"
971	"CD72"
972	"CD74"
973	"CD79A"
974	"CD79B"
975	"CD81"
976	"ADGRE5"
977	"CD151"
978	"CDA"
983	"CDK1"
987	"LRBA"
988	"CDC5L"
989	"SEPT7"
990	"CDC6"
991	"CDC20"
993	"CDC25A"
994	"CDC25B"
995	"CDC25C"
996	"CDC27"
997	"CDC34"
999	"CDH1"
1000	"CDH2"
1001	"CDH3"
1002	"CDH4"
1003	"CDH5"
1004	"CDH6"
1005	"CDH7"
1006	"CDH8"
1008	"CDH10"
1009	"CDH11"
1010	"CDH12"
1012	"CDH13"
1013	"CDH15"
1014	"CDH16"
1015	"CDH17"
1016	"CDH18"
1017	"CDK2"
1018	"CDK3"
1019	"CDK4"
1020	"CDK5"
1021	"CDK6"
1022	"CDK7"
1024	"CDK8"
1025	"CDK9"
1026	"CDKN1A"
1027	"CDKN1B"
1028	"CDKN1C"
1029	"CDKN2A"
1030	"CDKN2B"
1031	"CDKN2C"
1032	"CDKN2D"
1033	"CDKN3"
1036	"CDO1"
1038	"CDR1"
1039	"CDR2"
1040	"CDS1"
1041	"CDSN"
1043	"CD52"
1044	"CDX1"
1045	"CDX2"
1046	"CDX4"
1047	"CLGN"
1048	"CEACAM5"
1050	"CEBPA"
1051	"CEBPB"
1052	"CEBPD"
1053	"CEBPE"
1054	"CEBPG"
1058	"CENPA"
1059	"CENPB"
1060	"CENPC"
1062	"CENPE"
1063	"CENPF"
1066	"CES1"
1068	"CETN1"
1069	"CETN2"
1070	"CETN3"
1071	"CETP"
1072	"CFL1"
1075	"CTSC"
1080	"CFTR"
1081	"CGA"
1084	"CEACAM3"
1087	"CEACAM7"
1088	"CEACAM8"
1089	"CEACAM4"
1101	"CHAD"
1102	"RCBTB2"
1103	"CHAT"
1105	"CHD1"
1106	"CHD2"
1107	"CHD3"
1108	"CHD4"
1109	"AKR1C4"
1111	"CHEK1"
1112	"FOXN3"
1113	"CHGA"
1114	"CHGB"
1116	"CHI3L1"
1117	"CHI3L2"
1118	"CHIT1"
1119	"CHKA"
1122	"CHML"
1123	"CHN1"
1124	"CHN2"
1129	"CHRM2"
1130	"LYST"
1131	"CHRM3"
1132	"CHRM4"
1133	"CHRM5"
1134	"CHRNA1"
1135	"CHRNA2"
1136	"CHRNA3"
1137	"CHRNA4"
1138	"CHRNA5"
